Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
4.1-0012,ConnectTechInc,available,NVIDIA Jetson AGX Orin 64G (TensorRT) + CTI Forge Carrier (AGX201),NVIDIA Jetson AGX Orin 64G,1,Inference,gptj-99,SingleStream,Latency (ms),Closed ,gptj-99,Jetson r36.3.0 L4T,12-core ARM Cortex-A78AE CPU,Jetpack 6.0 TensorRT 10.1 CUDA 12.2,Edge,v4.1,1,closed,Closed,False,12,gptj-99,edge,4145.572039,4145.572039
4.1-0041,Lenovo,available,ThinkEdge SE455 V3 (2x NVIDIA L40S TensorRT),NVIDIA L40S,2,Inference,3D U-Net-99,Offline,Samples/s,Closed ,3d-unet-99,Ubuntu 22.04.3,AMD EPYC 8124P 16-Core Processor,TensorRT 9.3.0 CUDA 12.3,Edge,v4.1,1,closed,Closed,False,16,3d-unet-99,edge,7.79867,7.79867
4.1-0041,Lenovo,available,ThinkEdge SE455 V3 (2x NVIDIA L40S TensorRT),NVIDIA L40S,2,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 22.04.3,AMD EPYC 8124P 16-Core Processor,TensorRT 9.3.0 CUDA 12.3,Edge,v4.1,1,closed,Closed,False,16,resnet50,edge,86304.6,86304.6
4.1-0041,Lenovo,available,ThinkEdge SE455 V3 (2x NVIDIA L40S TensorRT),NVIDIA L40S,2,Inference,gptj-99,Offline,Tokens/s,Closed ,gptj-99,Ubuntu 22.04.3,AMD EPYC 8124P 16-Core Processor,TensorRT 9.3.0 CUDA 12.3,Edge,v4.1,1,closed,Closed,False,16,gptj-99,edge,1718.33,1718.33
4.1-0042,Lenovo,available,ThinkEdge SE360 V2 (2x NVIDIA L4 TensorRT),NVIDIA L4,2,Inference,BERT-99,SingleStream,Latency (ms),Closed ,BERT-99,Ubuntu 22.04.4,Intel(R) Xeon(R) D-2775TE,TensorRT 9.3.0 CUDA 12.5,Edge,v4.1,1,closed,Closed,False,16,BERT-99,edge,2.138389,2.138389
4.1-0041,Lenovo,available,ThinkEdge SE455 V3 (2x NVIDIA L40S TensorRT),NVIDIA L40S,2,Inference,gptj-99,SingleStream,Latency (ms),Closed ,gptj-99,Ubuntu 22.04.3,AMD EPYC 8124P 16-Core Processor,TensorRT 9.3.0 CUDA 12.3,Edge,v4.1,1,closed,Closed,False,16,gptj-99,edge,1437.183344,1437.183344
4.1-0051,NVIDIA,available,NVIDIA Jetson AGX Orin Developer Kit 64G (TensorRT),NVIDIA Jetson AGX Orin 64G,1,Inference,stable-diffusion-xl,Offline,Samples/s,Closed ,stable-diffusion-xl,Jetson r36.3.1 L4T,12-core ARM Cortex-A78AE CPU,Jetpack 6.0 TensorRT 10.1 CUDA 12.2,Edge,v4.1,1,closed,Closed,False,12,stable-diffusion-xl,edge,0.101697,0.101697
4.1-0042,Lenovo,available,ThinkEdge SE360 V2 (2x NVIDIA L4 TensorRT),NVIDIA L4,2,Inference,3D U-Net-99,Offline,Samples/s,Closed ,3d-unet-99,Ubuntu 22.04.4,Intel(R) Xeon(R) D-2775TE,TensorRT 9.3.0 CUDA 12.5,Edge,v4.1,1,closed,Closed,False,16,3d-unet-99,edge,2.21588,2.21588
4.1-0042,Lenovo,available,ThinkEdge SE360 V2 (2x NVIDIA L4 TensorRT),NVIDIA L4,2,Inference,BERT-99,Offline,Samples/s,Closed ,BERT-99,Ubuntu 22.04.4,Intel(R) Xeon(R) D-2775TE,TensorRT 9.3.0 CUDA 12.5,Edge,v4.1,1,closed,Closed,False,16,BERT-99,edge,1928.07,1928.07
4.1-0042,Lenovo,available,ThinkEdge SE360 V2 (2x NVIDIA L4 TensorRT),NVIDIA L4,2,Inference,3D U-Net-99,SingleStream,Latency (ms),Closed ,3d-unet-99,Ubuntu 22.04.4,Intel(R) Xeon(R) D-2775TE,TensorRT 9.3.0 CUDA 12.5,Edge,v4.1,1,closed,Closed,False,16,3d-unet-99,edge,1737.387316,1737.387316
