Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
5.0-0026,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,26.7933,26.7933
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,bert-99,SingleStream,Latency (ms),Closed ,bert-99,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,bert-99,edge,2.222834,2.222834
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,resnet50,edge,0.281736,0.281736
5.0-0025,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,61.764112,61.764112
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,3d-unet-99,SingleStream,Latency (ms),Closed ,3d-unet-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,3d-unet-99,edge,430.403815,430.403815
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,stable-diffusion-xl,SingleStream,Latency (ms),Closed ,stable-diffusion-xl,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,stable-diffusion-xl,edge,3940.380497,3940.380497
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,3d-unet-99,Offline,Samples/s,Closed ,3d-unet-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,3d-unet-99,edge,8.28506,8.28506
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,bert-99,Offline,Samples/s,Closed ,bert-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,bert-99,edge,8266.19,8266.19
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,3d-unet-99.9,Offline,Samples/s,Closed ,3d-unet-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,3d-unet-99.9,edge,4.17121,4.17121
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,stable-diffusion-xl,Offline,Samples/s,Closed ,stable-diffusion-xl,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,stable-diffusion-xl,edge,0.749103,0.749103
5.0-0028,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,38.7597,38.7597
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,bert-99,Offline,Samples/s,Closed ,bert-99,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,bert-99,edge,2896.6,2896.6
5.0-0030,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,47.651583,47.651583
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,retinanet,SingleStream,Latency (ms),Closed ,retinanet,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,retinanet,edge,1.699894,1.699894
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,resnet50,edge,0.303503,0.303503
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,retinanet,Offline,Samples/s,Closed ,retinanet,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,retinanet,edge,696.705,696.705
5.0-0027,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,70.064232,70.064232
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,resnet50,edge,0.506056,0.506056
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,resnet50,edge,0.769975,0.769975
5.0-0029,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,35.068542,35.068542
5.0-0030,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,67.0714,67.0714
5.0-0026,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,61.337068,61.337068
