Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
4.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,Inference,llama2-70b-99,Offline,Tokens/s,,1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,3062.72
4.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,Inference,llama2-70b-99,Server,Tokens/s,,1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,2520.27
4.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,Inference,llama2-70b-99.9,Offline,Tokens/s,,1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,3062.72
4.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,Inference,llama2-70b-99.9,Server,Tokens/s,,1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,2520.27
4.1-0002,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,23514.8
4.1-0002,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,21028.23
4.1-0002,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,23514.8
4.1-0002,AMD,available,Supermicro AS-8125GS-TNMR2,1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,available,32,2xAMD EPYC 9374F,21028.23
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,3d-unet-99,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,21.5153
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,3d-unet-99.9,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,21.5153
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,bert-99,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,24173.2
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,bert-99,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,17001.6
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,bert-99.9,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,20380
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,bert-99.9,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,16002.5
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,dlrm-v2-99,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,197140
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,dlrm-v2-99,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,129386
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,dlrm-v2-99.9,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,113651
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,dlrm-v2-99.9,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,100009
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,gptj-99,Offline,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6985.51
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,gptj-99,Server,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6070.26
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,gptj-99.9,Offline,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6985.51
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,gptj-99.9,Server,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6070.26
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,llama2-70b-99,Offline,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6673.95
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,llama2-70b-99,Server,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,5788.29
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,llama2-70b-99.9,Offline,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,6673.95
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,llama2-70b-99.9,Server,Tokens/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,5788.29
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,resnet,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,270891
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,resnet,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,233275
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,retinanet,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,5288.58
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,retinanet,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,2647.04
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,stable-diffusion-xl,Offline,Samples/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,5.89745
4.1-0003,ASUSTeK,available,ASUSTeK ESC4000A-E12 (4xH100-NVL-94GB),1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,Inference,stable-diffusion-xl,Server,Queries/s,,4,1,NVIDIA H100-NVL-94GB,available,96,AMD EPYC 9654 96-Core Processor,5.3739
4.1-0004,ASUSTeK,available,ESC8000A-E12 (8x H100-PCIe-80GB TensorRT),1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,Inference,3d-unet-99,Offline,Samples/s,,8,1,NVIDIA H100-PCIe-80GB,available,32,AMD EPYC 9374F 32-Core Processor,37.1373
