Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,3d-unet-99,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4613.619383260
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,3d-unet-99,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,41.664
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,3d-unet-99.9,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4613.619383260
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,3d-unet-99.9,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,41.664
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5531.247344461
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,54063.2
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5235.63
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,41599.4
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99.9,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,5628.787707182
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,bert-99.9,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,46534.6
